author,party,date,text,topic_tags,sentiment_tags
איימן עודה,"חד""ש-תע""ל","30 ביולי 2019, 19:12","['צפו ב ה הסתה של נתניהו נגד אנחנו', 'זו לא הסתה נגד אני ב אופן אישי', 'זוהי הסתה נגד ה עם ש ל אנחנו', 'ה בא נצא ב ה המונינו להצביע ש תזרוק את הוא מ חוץ ל ה מפה ה פוליטית', 'ה ציבור ש ל אנחנו שייך ו בעל מודעות גבוהה', 'לאחר ה איחוד של כולנו', 'אנו יכולים להעיף את ה']","[2, 0, 0, 2, 0, 0, 0]","[-1, 2, 2, -1, 2, 2, 2]"
יואב קיש,הליכוד,"23 ביולי 2019, 14:02","['מתכון ל ה מדינה ה חזקה ב ה מזרח ה תיכון', 'בונים קשרי חוץ ו ידידות מעולים עם ראשי ה מעצמות ה חזקות ב ה עולם', 'מדיניות כלכלית ליברלית של הסרת חסמים ו הגברת תחרות ב ה משק', 'משלבים תבונה מדינית יחד עם עמידה על עקרונות בסיסיים של צדקת ה דרך', 'מתבלים ב ה צבא ה חזק ו ה ערכי ב ה עולם', 'מגישים ל ה עם ישראל ה נהדר ש קם כל בוקר כבר 13 שנה עם חיוך על ה פנים ב ה מדינה ה נפלאה ש לנו', 'ראש ה ממשלה נתניהו', 'תודה רבה ל אתה', 'ב נימין נתני']","[0, 0, 0, 0, 0, 0, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 0, 1, 0]"
עודד פורר,ישראל ביתנו,"15 ביולי 2019, 19:33","['כש סמכות שרים עוברת ל ה רבנים ו ה יכולת של ה ממשלה לקבוע שעבודות חיוניות יתקיימו ב ה שבת מועברת ל ה רבנות ה ראשית', 'קוראים ל ה זה מדינת ה לכה', 'כש זה מצטרף ל ויתור על גיוס חרדים ו קביעה ש רק אנחנו נהיה ה פראיירים ש משרתים ב ה צבא', 'אז ברור ש זו כמעט היתה ממשלת ה לכה ב ראשות ל יצמן', 'דרעי ו סמוטריץ', 'ה פרסום ה זה', 'של קצה ה קרחון מ ה הסכמים בין נתניהו ל ה חרדים', 'מוכיח מעל כל צל של ספק', 'שליברמן הציל את אנחנו מ להפוך ל מדינת עולם שלישי', 'הגיע ה זמן להחזיר את ישראל ל ה נורמליות ו לעצור את ה השתוללות של ה חקיקה ה חרד']","[0, 0, 0, 0, 0, 0, 2, 0, 0, 2]","[2, 2, 2, 2, 2, 2, 0, 2, 2, -1]"
משה יעלון,כחול לבן,"5 ביולי 2019, 15:24","['התראיינתי ל תוכנית ה נבחרים ב ה רדיוס 100 אף אם', 'ש שודרה היום ב ה ערוץ 20', 'נתניהו סיים את תפקידו ה ציבורי', 'הוא בסוף דרכו ו ככל ש הוא יסיים מוקדם יותר כך ייטב ל כולנו', 'מחכה ל הוא שימוע עם כתב אישום על שוחד', 'מ רמה ו הפרת אמונים', 'נתניהו עוסק ב ה השרדות', 'ו ממשיך לשעבד את ה אינטרסים ה לאומיים של כולנו ל צורך הצלת עורו ו המלטות מ אימת ה דין', 'כ חול לבן היא ה אלטרנטיבה', 'אנחנו ימין רציונלי ו מ רכז שפוי', 'אנחנו לא קצוות', 'אנחנו מה ש ה מדינה ש ל אנחנו צריכה עכשיו', 'אנחנו נרכיב את ה ממשלה ה באה עם ה ליכוד', 'ב ה ל אני נתניהו', 'ו בלי מפלגות ש אינן ציוניות', 'תודה ל דוד בן ב סט ה מראיין על עוד ארוח נפלא ב תחנת ה רדיו של הוא', 'ש בת של']","[0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0]","[2, 2, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, 0, 0, 2, 2, 2]"
משה יעלון,כחול לבן,"30 ביוני 2019, 10:39","['אנחנו הגענו ל כאן', 'אנשי כ חול לבן', 'ל ה עוטף', 'כדי להגיד די', 'די ל הפקרות ה ביטחונית ש אנחנו רואים כאן ב ה חודשים ה אחרונים', 'ש ב היא במקום לגבות מ ה חמאס מחיר כבד על מה ש הוא עולל כאן', 'ו תראו את ה דוגמא של ה שדה מאחורי', 'אנחנו משלמים ל הוא פרוטקשן', 'במקום להגיב תגובה קשה כנגד ה עפיפונים ו ה בלונים', 'ש מישהו זלזל ב ה הם לצערי כבר לפני שנה', 'אנחנו שומעים את נתניהו מצהיר הצהרות מאיימות ו בסוף אנחנו משלמים', 'בטחון תושבי ה עוטף משועבד ל מה ש מעניין את נתניהו ה בריחה מ אימת ה דין', 'ה הישרדות ה פוליטית', 'אילולא זה', 'כבר מזמן צהל היה נותן מכה קשה', 'כפי ש צריך לתת', 'אנחנו כל ה זמן לפני ב חירות', 'והחמאס קורא את אנחנו ו מבין ש נתניהו לא רוצה הסלמה', 'לא יכול להיות ש מדינת ישראל תזלזל ב ריבונות של עצמה', 'בין אם זה רקטה ו בין אם זה בלון או עפיפון', 'תושבי ה עוטף סובלים כאן ב אופן בלתי נסבל ו ה זלזול ב ה ריבונות ש לנו פוגע פגיעה קשה ב ה ביטחון ש ל אנחנו', 'צריך להגיד לנתניהו די', 'לא רק ה שדות פה נשרפים', 'גם שלטון ה חוק נשרף', 'ה כלכלה נפגעת', 'כש מעל ה כל נתניהו דואג ל עצמו ו ל הימלטות מאימת ה דין', 'כ חול לבן מציעה אלטרנטיבה בטחונית ו כלכלית', 'אנחנו נחושים להוביל ו לנצח ב ה בחירות ה קרובות כדי להחזיר את ה ביטחון ל ה עוטף ע']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, -1, 2, 2, 2, 2, -1, 2, 2, 2, -1, 2, 2, 2, -1, 2, 2]"
מירי רגב,הליכוד,"27 ביוני 2019, 05:54","['ה ל הוא', 'אהוד ברק על מי בדיוק אתה מנסה לעבוד', 'עד לפני 6 שנים היית ה סנגור ה טוב ביותר של נתניהו', 'אפילו עזבת את מפלגת ה עבודה כדי להישאר ב ממשלת נתניהו', 'אתה גם תהיה ה ראשון ש ינסה להיכנס ל ממשלת נתניהו ה באה', 'אז חלאס', 'מספיק עם ה בלופים ש ל אתה', 'אהוד ב']","[0, 0, 2, 2, 2, 0, 0, 0]","[2, 2, 0, 0, 0, 2, 2, 2]"
יעל גרמן,כחול לבן,"26 ביוני 2019, 09:45","['ב ה יממה ה אחרונה נתניהו הפריח ל ה אוויר עוד אחד מ שקריו מ שוללי ה יסוד', 'כאילו נהל עם גנץ מומ ל הקמת ממשלה ב ראשותו ו ב ה רוטציה עם גנץ', 'וכאילו ניתן לבטל את ה בחירות ה אלו', 'עליהם הכריז הוא עצמו', 'זהו שקר', 'מפלגת כ חול לבן ל אורך כל ה דרך שומרת על עקרונותיה ו על ה הבטחות ל אתם', 'ה בוחרות ו ה בוחרים', 'באנו לשרת את אתם מתוך אמונה ש אפשר לעשות זאת ב יושר', 'ללא שחיתות', 'תוך שמירה על מינהל תקין', 'לא נשב עם נתניהו', 'כך הבטחנו ו כך נעשה', 'ו כל ה שאר הם שקרים ה נובעים מ ה פחד ה מוצדק של נתניהו ש הפעם הגיע ל ה סוף דר']","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2]","[-1, 0, 0, 0, -1, 2, 2, 2, 2, 2, -1, 0, -1]"
תמר זנדברג,מרצ,"25 ביוני 2019, 19:21","['מדהים לראות איך נתניהו משתמש ב מדינת ישראל כמו ה צעצוע ה אישי של הוא', 'רק לפני חודש', 'הוא הפך עולמות כדי להקדים את ה בחירות', 'ו עכשיו כש גילה ש ל ציבור נמאס מ ה משחקים ה אלה', 'הוא עשה את היא פרסה', 'מדהים עוד יותר לראות את חברי הכנסת בליכוד ו ב ה ימין מיישרים קו עם רוח ה מפקד', 'ראשי מפלגות כמו רפי פרץ', 'מ שה כחלון ו יעקב ליצמן מיישרים קו עם דף ה מסרים של ה ליכוד ו פתאום נזכרו ש לא צריך ב ה חירות', 'אז יש ל אני חדשות ב ה שבילכם', 'אנחנו לא נהיה חבל ה הצלה של ה מושחת נתניהו', 'ו אני קוראת ל כל ה מחנה ו ה חברים ב ה אופוזיציה אל תושיטו ל הוא את ה יד', 'אנחנו מגיעים ל ה בחירות ה אלה ב כל ה כוח', 'לא נופלים ל ה ספינים', 'עם מטרה ברורה ו רק ביחד ננ']","[2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0]","[-1, 2, -1, -1, -1, -1, 2, -1, 2, -1, -1, 2, 2, 2]"
משה יעלון,כחול לבן,"24 ביוני 2019, 09:45","['האם נתניהו נותר נאמן ל משהו חוץ מ לעצמו', 'נתניהו נכנע מזמן ל ה כהניסטים', 'ומשנכשל הגיש את צווארו ל מפלגת ה עבודה בעבור בדל סיכוי ל ה ממשלה', 'תוך הפרת ה הבטחות ל חבריו ב ה ליכוד', 'כעת מתברר ש אחרי ש שיקר כי סיעת כ חול לבן יילכו עם ה ערבים', 'הוא עצמו שיתף פעולה ב אופן הדוק עם ה סיעות ה ערביות ו שלח את ה מדינה ה זו ל טירוף מ ערכות נוסף', 'ב חירות מיותרות ו יקרות', 'נתניהו איבד את זה', 'הוא צריך לפנות את מקומו ל ממשלת אחריות לאומית ב ראשות בני גנץ ו כ חול לבן', 'ש תציל את ה מדינה מ ה התנהלות ה מופקרת', 'מ ה שחיתות ו מ ה גרעון ה תופח', 'יאיר ל פידגבי אשכנזי מפלגת כ חול ל']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 2, 2]"
עפר שלח,כחול לבן,"12 ביוני 2019, 18:02","['ה ממשלה לא צריכה תמיד לקיים את החלטות ב ה גצ', 'כי הוא מסייע ל ה מחבלים ל הרוג יהודים', 'דברי שר ה משפטים ש מינה נתניהו כדי להרוס את שלטון ה חוק מ בפנים', 'מה עוד אתם צריכים לדעת על מה ש עומד בפני אנחנו ב ה בחירות ה א']","[0, 0, 2, 0]","[2, 2, -1, 2]"
אביגדור ליברמן,ישראל ביתנו,"24 במאי 2019, 06:04","['מחיר ה יוהרה', 'אם נצטרך ללכת ל בחירות חוזרות זה אך ו רק בגלל ה ליכוד', 'בגלל ניהול מומ קואליציוני כושל', 'ארוגנטי ו רשלני', 'זה לא ב ה מקרה ש עד ל רגע זה לא נחתם שום הסכם עם אף מפלגה', 'ו לא רק עם ישראל ביתנו', 'זה לא ב ה מקרה ש ב ה פעם ה ראשונה מ אז קום ה מדינה', 'מי ש ניצח ב ה בחירות ב ה צורה משכנעת לא מצליח להקים ממשלה', 'יצא ל אני לא פעם לנהל מומ קואליציונים', 'גם מטעם ה ליכוד ו גם מול ה ליכוד', 'ו אינני זוכר משהו ש מתקרב ל ה מומ ה נוכחי', 'למרות כל תמרור אזהרה אפשרי', 'מצד ישראל ביתנו ו מצד ה שותפות ה אחרות', 'ה ליכוד התנהלה ב ה יוהרה', 'ב ה גישה ה קלאסית של יהיה ב ה סדר', 'חוק ה גיוס', 'ל צערי ה פך לסמל', 'ב כל ה נוגע ל ה דת ו מ דינה', 'אבל ה סמל ה זה כולל בתוך הוא חרם צרכני על מפעל פיניציה ב ברכת ה אדמור מ גור', 'גשר יהודית ו דוח ועדת ניסים ב נושא ה גיור ש הוכנס עמוק עמוק לתוך ה מקפיא', 'לכן ממשלת 60 תהיה ממשלה חרדית ו לא ממשלה ימנית', 'שבמקום לדאוג ל מדינה יהודית תהפוך את ישראל ל מדינת ה לכה', 'עצתי ל ראש ה ממשלה ב ה נימין נתניהו', 'תפעיל לחץ על ה מפלגות ה חרדיות לעמוד ב ה סיכום ה מקורי מ ה קדנציה ה קודמת ו להשלים את חקיקת חוק ה גיוס ב קריאה שניה ו שלישית ב ה אותו נוסח בדיוק כפי ש עבר ב קריאה ראשונה', 'ב כל מקרה אנו לא נמליץ ל נשיא ה מדינה על מועמד אחר מלבד נתניהו', 'ו לכן ה אלטרנטיבה ה יחידה ב ה מידה ו ה חוק לא יאושר היא בחירות חוזר']","[0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]","[2, -1, -1, -1, -1, 2, 2, -1, 2, 0, 2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 1, 0]"
משה יעלון,כחול לבן,"20 במאי 2019, 19:35","['בונים קואליציה ש הולכת להגן על עבריינים ו לשמור בעיקר על נתניהו מעל ה חוק', 'קדנציה של ראש ממשלה צריכה להיות 8 שנים ו לא יותר', 'מה ש אנחנו רואים כרגע הוא תוצאה של הסתאבות ו ריקבון', 'מי ש עבר עבירות ש יש עם הן קלון לא צריך לחזור ל ה חיים ה ציבוריים', 'לכן אנחנו עושים הכל כדי להוציא אנשים ל ה רחובות', 'הצביעו ל אנחנו למעלה מ 1', '1 מליון ישראלים הם מצפים מאת אנחנו ו ב ה צדק', 'ש נקרא ל ה הם לצאת ל ה רחוב', 'אז אנחנו מתחילים ב מוצאי שבת ה קרובה', 'ו אנו נלך ו נרחיב את זה', 'צפו ב ראיון של אני אצל מזל מעל את הם ב ה ערוץ ה כנסת', 'ערוץ כ ה נ']","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[-1, 0, -1, -1, 0, 2, 2, 2, 2, 2, 2, 2]"
אופיר אקוניס,הליכוד,"29 באפריל 2019, 16:16","['41 לוחמי אצל נפלו ב ה מערכה ל ה שחרור יפו', 'חייהם מ לחמה', 'מותם גבורה', 'ותיקי ה ארגון', 'בני ה משפחות', 'מוקירי זכרם ו אני ב ה הם', 'ב ראשות ראש ה ממשלה בנימין נתניהו מתכנסים עכשיו ל ה ספר את סיפור ה מערכה ה היסטורית', 'ש השפעתה על מדינתנו היא מהבולטות ש ב מלחמת ה עצמא']","[0, 0, 0, 0, 0, 0, 2, 0]","[2, 2, 2, 2, 2, 2, 0, 2]"
יריב לוין,הליכוד,"15 באפריל 2019, 07:12","['היה ל אני ה כבוד לעמוד ב ראש משלחת ה ליכוד ל נשיא ה מדינה ראובן ריבלין', 'ו להמליץ על ראש ה ממשלה בנימין נתניהו להרכיב את ה ממשלה ה באה', 'כ מי ש זכה ב ה אמון ה רחב ביותר ו ב ה תמיכה ה ציבורית ה רחבה ביותר', 'פנינו ל הקמת ממשלה ש תמשיך לקדם את מדינת ישראל ב כל ה תחומים ו תפעל למען כל אחת ו אחד מ אזרחי ישראל', 'ל ה ']","[0, 2, 2, 2, 0]","[2, 1, 1, 1, 2]"
יואב גלנט,הליכוד,"11 באפריל 2019, 05:48","['זהו ניצחון גדול ל ה ליכוד ו הבעת אמון אדירה ב ראש ה ממשלה ב ה נימין נתניהו', 'מקימים ממשלה יציבה ו ממשיכים ב ה הצלחה למען מדינת ישראל', 'צפו ו שת']","[2, 2, 0]","[1, 1, 2]"
אופיר אקוניס,הליכוד,"10 באפריל 2019, 05:54","['כך נראה אושר גדול', 'כ נגד כל ה סיכויים', 'כל ה סקרים ו כל ה פרשנים', 'ניצחנו ניצחון ענק ו היסטורי', 'עמדנו מול גלי הכפשות', 'המצאות ו שקרים נוראיים', 'מול אנרגיות אדירות ש איימו לשטוף את כל הישגינו ב ה עשור ה אחרון ו להעלות ממשלת שמאל', 'מן ה צד ה שני', 'שמענו ב ה קניונים', 'ב ה רחובות', 'ב חוגי ה בית', 'ב ה מפגשים עם תלמידים', 'ב שיחות ה טלפון ו ב מפגשים אקראיים את ה רצון ש ל אתם', 'להוקיר תודה ל ראש ה ממשלה בנימין נתניהו ו ל ה תנועה ה נפלאה ש הוא עומד ב ראשה מפלגת ה ליכוד', 'היו ש חששו להגיד זאת ב קול רם', 'אז הם ניגשו ליד ה אוזן ו לחשו ל אני', 'אנחנו את אתם', 'ו אכן', 'רוב גדול של ה עם ב ה ישראל את אנחנו', 'רוצה ב המשך מנהיגותו של נתניהו ו ממשלתנו', 'אני מלווה את בנימין נתניהו ל ה מעלה מ 23 שנה', 'ראיתי את הוא', 'ו את מ שפחתו', 'ב רגעים שמחים ו ב ימים שמחים פחות', 'ב ה חירות 2006', 'ל עיתים קרובות', 'ספגתי עלבונות אישיים קשים מאוד על כך', 'גם מ עיתונאים בכירים', 'אף פעם לא שיניתי את עמדתי ו את הערכתי ל ה איש ה זה', 'ש הוא מגדולי ה מדינאים ב ה עולם', 'ב מידה רבה מאוד', 'ה ניצחון ה זה הושג בזכות הוא', 'ב ה יתר ש את ב שעות אחר ה צהריים של יום ה בחירות', 'ש גם ב ה הן שמחתי לעמוד ל צידו ו לסייע ככל יכולתי', 'יש עוד הרבה מה לכתוב', 'אבל כעת נאמר רק זאת', 'תודה רבה ל ה כול']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2]"
אופיר אקוניס,הליכוד,"9 באפריל 2019, 09:38","['צו 8 ל מצביעי ה ליכוד', 'לכו להצביע בהקדם ו אם אתם רוצים מ משל היא ב ראשות ב נימין נתניהו אתם חייבים להטיל פתקי מחל ל קלפיות']","[2, 2]","[0, 1]"
אלעזר שטרן,כחול לבן,"7 באפריל 2019, 15:30","['אנחנו מנצחים', 'נקום מחרתיים ב ה בוקר עם שיר חדש ב ה לב ו כך נלך להצביע', 'אם כ חול לבן תהיה ה מפלגה ה גדולה משמעותית ישראל תנצח', 'זהו ה רגע של כל אחת ו אחד מ את אנחנו', 'כי כחול ו לבן הוא ה צבע של אני ו של כל עם ישראל', 'כל קול ל ה גבאי', 'ל ה זהות', 'ל ה ישראל ביתנו', 'ל ה כולנו או ל מרצ', 'הוא קול ל ביבי', 'נצחון של נתניהו יוביל ל ישראל גזענית יותר', 'חרדית יותר', 'מושחתת יותר ו דימוקרטית פחות', 'הגיע זמן החלפה', '13 שנה מ נתקים ראש מ משלה מ ה עם ו מ ערכיו', '13 שנה זה מספיק', 'נקום מחרתיים ב ה בוקר עם שיר חדש ב ה ']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, -1, -1, -1, -1, -1, -1, 2]"
צחי הנגבי,הליכוד,"4 באפריל 2019, 10:41","['קרנבל ב חירות תוסס ב ה קניון רחובות', 'הרבה מפלגות', 'הרבה נבחרי ציבור', 'ו הכי חשוב הרבה אזרחים ש אומרים ב ה קול נלהב ו ב עיניים בורקות', 'רק ה ליכוד', 'רק נתני']","[0, 0, 0, 0, 2, 2]","[2, 2, 2, 2, 1, 1]"
יובל שטייניץ,הליכוד,"3 באפריל 2019, 16:46","['נרגש על השבת גופתו של רב סמל זכריה ב ה אומל זל', 'מ נעדרי ה קרב ב ה סולטן יעקב', 'ש חזר הביתה לאחר 37 שנים', 'מברך את ראש ה ממשלה ו שר ה בטחון בנימין נתניהו על הובלת ה מבצע', 'ו את קהילת ה מודיעין ו כוחות ה בטחון על מאמציהם ה רבים ש הביאו ל איתורו ו השבתו ארצה', 'נמשיך לפעול מתוך מחוייבות מוסרית', 'ל השבת כלל ה שבויים ו ה נעדרים ל מדינת ישר']","[0, 0, 0, 2, 0, 0, 0]","[2, 2, 2, 1, 2, 2, 2]"
אלעזר שטרן,כחול לבן,"31 במרץ 2019, 12:32","['גם תושבי ה דרום משעממים את בנימין נתניהו', 'תושבי ה דרום הם כולם פשוט ימשיכו ל שעמם את ה ממשלה ה זאת', 'ש הרי למה ה ממשלה ה זאת קיימת אם לא על מנת לשרת את צרכיו ה אישיים ו ה עצובים מאוד של ראש ה ממשלה בנימין נתניהו ו של שריו ה מסוכנ']","[2, 0, 2]","[-1, 2, -1]"
אורלי לוי-אבקסיס,גשר,"28 באוגוסט 2019, 13:40","['ה בוקר ב ה אולפן הסברתי שוב כי עמיר ו אני לא נסכים לשבת ב ה ממשלה ב ה ראשות נתניהו', 'אנחנו כאן בשביל להילחם על ה נושאים ש חשובים ל כולנו באמת ו אין ל אנחנו כל כוונה להתפשר על הם', 'צפו ו שת']","[2, 0, 0]","[-1, 2, 2]"
אופיר אקוניס,הליכוד,"19 באוגוסט 2019, 05:12","['לא מסוגלים לנהל מ פלגה הם רוצים לנהל מדינה', 'ו איתם', 'אמור לחתום ליברמן על ה סכם עודפים', 'הוכחה נחרצת ל כך ש כל פתק אל הוא', 'זהו פתק ל מפלגת ה חקירות ה חשאיות', 'עוד פחות מחודש מחליטים', 'מ חל', 'ב ה ראשות ב ה נימין נתניהו', 'ה פתק ה בלעדי ש מבטיח מ משלת ימ']","[0, 0, 0, 0, 0, 0, 0, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 0, 0]"
מיכל רוזין,מרצ,"15 באוגוסט 2019, 12:04","['נתניהו פחדן', 'הוא מפחד לא ליישם את ה הוראות ה הזויות של טראמפ ש לא להכניס את ראשידה ועומאר ל ישראל', 'ו הוא בעיקר מפחד ש כך גורם מבחוץ ייחשף ל מציאות ה כיבוש ה ישראלית', 'ש יהיה ברור', 'מניעת כניסה של חברות קונגרס של ה מדינה ה קרובה ביותר ל ישראל רק עקב דעותיהן ה פוליטיות היא צעד הרסני ל מערכת ה יחסים עם ה דמוקרטים ב ה ארהב', 'נתניהו קונה שקט זמני מ ה בית ה לבן', 'ב ה מחיר של בומרנג מדיני ב ה טווח ה אר']","[2, 2, 2, 0, 0, 2, 0]","[-1, -1, -1, 2, 2, 0, 2]"
